incorrect,correct,#errors,data_source
कल हमारे गाँव में एक बड़ा मेला लगा था जिसमें दूर-दूर से लोग आया था और तरह-तरह का खेल+ मिठाई और खिलौना बिक रहा था लेकिन भीड़ के कारण बहुत परेशानी हुआ था।,कल हमारे गाँव में एक बड़ा मेला लगा था जिसमें दूर-दूर से लोग आए थे और तरह-तरह के खेल+ मिठाइयाँ और खिलौने बिक रहे थे लेकिन भीड़ के कारण बहुत परेशानी हुई थी।,5,human
गांधी ने भी युवा जवाहरलाल नेहरू में भारत का भविष्य देखे और उन्हें आगे बढने के लिए प्रेरित किया।,गांधी ने भी युवा जवाहरलाल नेहरू में भारत का भविष्य देखा और उन्हें आगे बढने के लिए प्रेरित किया।,1,synthetic
वहां लगभग 1 साल इलाज करवाने के बाद वह सितंबर 2019 में भारत वापस आए था।,वहां लगभग 1 साल इलाज करवाने के बाद वह सितंबर 2019 में भारत लौटे थे।,1,synthetic
मेरे गाँव में कई तालाबों है जहाँ हम नहाने जाते हैं गर्मियों में।,मेरे गाँव में कई तालाब हैं जहाँ हम नहाने जाते हैं गर्मियों में।,2,human
एक तरफ सत्तारूढ़ जेडीयू और बीजेपी तो दूसरी तरफ है आरजेडी-कांग्रेस सहित कई पार्टियों का महागठबंधन।,एक तरफ सत्तारूढ़ जेडीयू और बीजेपी तो दूसरी तरफ आरजेडी-कांग्रेस सहित कई पार्टियों का महागठबंधन।,4,synthetic
वह गर्ल बहुत टैलेंटेड है और डांसिंग कॉम्पिटिशन में पार्टिसिपेट करती है।,वह लड़की बहुत प्रतिभाशाली है और नृत्य प्रतियोगिता में भाग लेती है।,5,human
प्रबंधक महोदय ने कर्मचारियों से कहा कि तुम सब समय पर काम पूरा करो।,प्रबंधक महोदय ने कर्मचारियों से कहा कि आप सब समय पर काम पूरा करें।,1,human
अगर आप मुझे बुलाते हैं+ तो मैं जरूर आता हूँ और आपकी मदद करता हूँ हर संभव तरीके से।,अगर आप मुझे बुलाएँगे+ तो मैं जरूर आऊँगा और हर संभव तरीके से आपकी मदद करूँगा।,2,human
अक्षय कुमार ने ट्वीट कर लिखा है+ बीती रात ही देश लौटने के बाद जो न्यूज़ पढ़ी हैं वे परेशान करने वाली हैं।,अक्षय कुमार ने ट्वीट कर लिखा है+ बीती रात ही देश लौटने के बाद जो खबरें पढ़ी हैं वे परेशान करने वाली हैं।,4,synthetic
हमारे गाँव का पंचायत सदस्य बहुत ईमानदार व्यक्ति है और सभी का काम निष्पक्ष तरीके से पूरा करता है।,हमारे गाँव के पंचायत सदस्य बहुत ईमानदार व्यक्ति हैं और सभी का काम निष्पक्ष तरीके से पूरा करते हैं।,3,human
"कांग्रेस का वर्किंग कमेटी ने 14 सितंबर, 1939 यह बयान जारी कर लोगों का ध्यान लड़ाई के कुछ ऐसे पहलुओं की ओर खींचा है, जो बदकिस्मती से उपेक्षित थे।","कांग्रेस की वर्किंग कमेटी ने 14 सितंबर, 1939 यह बयान जारी कर लोगों का ध्यान लड़ाई के कुछ ऐसे पहलुओं की ओर खींचा है, जो बदकिस्मती से उपेक्षित थे।",3,synthetic
मेरा भाई कल अपना दोस्तों के साथ ट्रैकिंग पर गया था और शाम तक बहुत थका हुआ वापस आया था।,मेरा भाई कल अपने दोस्तों के साथ पदयात्रा पर गया था और शाम तक बहुत थका हुआ वापस आया था।,2,human
मेरा मित्र कल अमेरिका से वापस आएगा और मैं उसे एयरपोर्ट को लेने जाऊँगा।,मेरा मित्र कल अमेरिका से वापस आएगा और मैं उसे एयरपोर्ट से लेने जाऊँगा।,1,human
1हानी सुनाता है और बच्चे उसे बहुत पसंद करते हैं।,उसकी दादी बहुत अच्छी कहानियाँ सुनाती हैं और बच्चे उन्हें बहुत पसंद करते हैं।,5,human
तीन घरों बिक्री के लिए है और सभी अच्छी हालत में हैं।,तीन घर बिक्री के लिए हैं और सभी अच्छी हालत में हैं।,2,human
उन्होंने अधिकारियों को घायलों को समुचित उपचार मुहैया कराए जाने के निर्देश भी दिए हैं।,उन्होंने अधिकारियों को घायलों को उचित उपचार मुहैया कराए जाने के निर्देश भी दिए हैं।,1,synthetic
मुझे भारत का हस्तशिल्प देखना बहुत पसंद है कारीगर का हुनर देखकर प्रभावित हो जाता हूँ।,मुझे भारत के हस्तशिल्प देखना बहुत पसंद है कारीगरों का हुनर देखकर प्रभावित हो जाता हूँ।,2,human
रेल मिनिस्टर सुश्री ममता बनर्जी ने कॉमनवेल्थ गेम्स में उत्‍कृष्‍ट परफॉर्मेंस करने और देश के लि‍ए मेडल जीतने पर रेलवे से जुड़े खि‍लाड़ि‍यों की प्रशंसा की है।,रेलमंत्री सुश्री ममता बनर्जी ने राष्‍ट्रमंडल खेलों में उत्‍कृष्‍ट प्रदर्शन करने और देश के लि‍ए पदक जीतने पर रेलवे से जुड़े खि‍लाड़ि‍यों की प्रशंसा की है।,5,synthetic
बैठक में सार्वजनिक क्षेत्र के बैंकों के मुख्यकार्यकारी अधिकारी तथा सरकारी विभागों एवं बैंकों के अन्य अधिकारी भी उपस्थित था।,बैठक में सार्वजनिक क्षेत्र के बैंकों के मुख्यकार्यकारी अधिकारी तथा सरकारी विभागों एवं बैंकों के अन्य अधिकारी भी उपस्थित थे।,1,synthetic
तो यह बात साफ़ है कि परमेश्‍वर ने जानवरों को मनुष्यों की बराबरी का दर्जा नहीं दिए।,तो यह बात साफ़ है कि परमेश्‍वर ने जानवरों को मनुष्यों की बराबरी का दर्जा नहीं दिया ।,3,synthetic
इस अवधि के दौरान 16 टेस्ट मैच+ 27 एक दिवसीय अंतरराष्ट्रीय (वनडे) और 33 ट्वेंटी-20 अंतरराष्ट्रीय (टी20ई) खेले गए थी।,इस अवधि के दौरान 16 टेस्ट मैच+ 27 एक दिवसीय अंतरराष्ट्रीय (वनडे) और 33 ट्वेंटी-20 अंतरराष्ट्रीय (टी20ई) खेले गए थे।,1,synthetic
उसका नाना बहुत बुजुर्ग हैं लेकिन अभी भी अपना बगीचे की देखभाल करते हैं और रोज़ शाम को पौधों को पानी देते हैं क्योंकि उन्हें बागवानी का बहुत शौक है।,उसके नाना बहुत बुजुर्ग हैं लेकिन अभी भी अपने बगीचे की देखभाल करते हैं और रोज़ शाम को पौधों को पानी देते हैं क्योंकि उन्हें बागवानी का बहुत शौक है।,2,human
मैं कल अपना माता-पिता के साथ हॉस्पिटल गया था क्योंकि मेरे पिता जी को चेकअप कराना था और डॉक्टर ने कहा था कि सब कुछ नॉर्मल है लेकिन हेल्दी डाइट लेना चाहिए।,मैं कल अपने माता-पिता के साथ अस्पताल गया था क्योंकि मेरे पिता जी को जाँच करानी थी और डॉक्टर ने कहा था कि सब कुछ सामान्य है लेकिन स्वस्थ आहार लेना चाहिए।,6,human
भारतीय विदेश मंत्रालय के प्रवक्‍ता रवीश कुमार ने बृहस्‍पतिवार को कहा कि हमें नहीं लगता है कि पकिस्‍तान के प्रधानमंत्री इमरान खान के हर बयान पर प्रतिक्रिया दी जानी चाहिए।,भारतीय विदेश मंत्रालय के प्रवक्ता रवीश कुमार ने बृहस्पतिवार को कहा कि हमें नहीं लगता है कि पाकिस्तान के प्रधानमंत्री इमरान खान के हर बयान पर प्रतिक्रिया दी जानी चाहिए।,3,synthetic
डॉक्टर साहब ने कहा कि मेरा खून में शुगर बहुत ज्यादा है इसलिए मिठाई बंद करना पड़ेगा।,डॉक्टर साहब ने कहा कि मेरे खून में शुगर बहुत ज्यादा है इसलिए मिठाइयाँ बंद करनी पड़ेंगी।,3,human
इसके थोड़ी देर बाद ही निकटवर्ती महिला कॉलेज एवं अन्य कॉलेजों सहित घाटी में कई स्थानों पर विरोध प्रदर्शन शुरू हो गई।,इसके थोड़ी देर बाद ही निकटवर्ती महिला कॉलेज एवं अन्य कॉलेजों सहित घाटी में कई स्थानों पर विरोध प्रदर्शन शुरू हो गए।,1,synthetic
जैसे ही बारिश रुकती है+ मैं बाहर निकलता हूँ और अपने काम पर जाता हूँ।,जैसे ही बारिश रुकेगी+ मैं बाहर निकलूँगा और अपने काम पर जाऊँगा।,1,human
मोर ने अपने पंख फैलाया+ नाचना शुरू किया और सुंदर आवाज़ में चिल्लाया बारिश में।,मोर ने अपने पंख फैलाए+ नाचना शुरू किया और सुंदर आवाज़ में चिल्लाया बारिश में।,1,human
इसने इस सिद्धांत को जन्म दिया कि यूरिक एसिड एम्एस के विरुद्ध सुरक्षा प्रदान करता है+ हालांकि उसका सही-सही महत्व बना हुआ है अज्ञात।,इसने इस सिद्धांत को जन्म दिया कि यूरिक एसिड एम्एस के विरुद्ध सुरक्षा प्रदान करता है+ हालांकि उसका सही-सही महत्व अज्ञात बना हुआ है।,1,synthetic
वह जीवित को मृत से निकालता है और मृत को जीवित से+ और धरती को उसके मृत्यु के पश्चात जीवन प्रदान करता है। इसी प्रकार तुम भी निकाले जाओगे,वह जीवित को मृत से निकालता है और मृत को जीवित से+ और धरती को उसकी मृत्यु के पश्चात जीवन प्रदान करता है। इसी प्रकार तुम भी निकाले जाओगे,1,synthetic
आप (व्यक्ति) निचली अदालत में 10 लाख रुपये जमा कराएं जिसे पत्नी अपनी फौरी जरूरतों को पूरा करने के लिए निकाल पाएगी बिना शर्त।,आप (व्यक्ति) निचली अदालत में 10 लाख रुपये जमा कराएं जिसे पत्नी अपनी फौरी जरूरतों को पूरा करने के लिए बिना शर्त निकाल पाएगी।,1,synthetic
मेरी दोनों बेटियां कॉलेज में पढ़ता है और अच्छे अंक लाता है हमेशा।,मेरी दोनों बेटियां कॉलेज में पढ़ती हैं और हमेशा अच्छे अंक लाती हैं।,4,human
वह अपनी पढ़ाई पूरी करता है और फिर नौकरी ढूंढता है अच्छी कंपनी में।,वह अपनी पढ़ाई पूरी करेगा और फिर अच्छी कंपनी में नौकरी ढूंढेगा।,2,human
सरकारी अस्पताल में इलाज़ करवाने के लिए बहुत लंबा लाइन लगता है हर दिन।,सरकारी अस्पताल में इलाज़ करवाने के लिए बहुत लंबी लाइन लगती है हर दिन।,2,human
उसका बेस्ट फ्रेंड फॉरेन यूनिवर्सिटी में एडमिशन ले लिया है और वह अब डिप्रेसड है क्योंकि अकेला पढ़ना होगा।,उसके अभिन्न मित्र ने विदेशी विश्वविद्यालय में प्रवेश ले लिया है और वह अब उदास है क्योंकि अकेले पढ़ना होगा।,6,human
श्री नरेन्द्र मोदी ने कहा कि वह चाहते हैं कि केन्द्र और राज्य सरकारें काम करें 'एक और एक ग्यारह' की भावना से एकजुट होकर।,श्री नरेन्द्र मोदी ने कहा कि वह चाहते हैं कि केन्द्र और राज्य सरकारें 'एक और एक ग्यारह' की भावना से एकजुट होकर काम करें।,3,synthetic
सफर ने कहा+ पश्चिमी विक्षोभ के प्रभाव में बारिश में कम उत्सर्जन के साथ वायु गुणवत्ता सूचकांक ने बेहतरी में तो योगदान दिया है।,सफर ने कहा+ पश्चिमी विक्षोभ के प्रभाव में बारिश में कम उत्सर्जन के साथ वायु गुणवत्ता सूचकांक ने बेहतरी में योगदान दिया है।,4,synthetic
हम परीक्षा के बाद पिकनिक पर जाते हैं और वहाँ मज़ा करते हैं सारा दिन।,हम परीक्षा के बाद पिकनिक पर जाएँगे और वहाँ सारा दिन मज़ा करेंगे।,2,human
कृष्ण जन्माष्टमी में मथुरा जाने को सोच रहा था लेकिन टिकट नहीं मिला था ट्रेन का।,कृष्ण जन्माष्टमी में मथुरा जाने का सोच रहा था लेकिन ट्रेन की टिकट नहीं मिली थी।,3,human
नेहा और उसका भाई जो चाय पीता है+ वह अभी बाहर गया है और शाम तक लौटेगा।,नेहा और उसका भाई जो चाय पीते हैं+ वे अभी बाहर गए हैं और शाम तक लौटेंगे।,3,human
इसके अतिरिक्त पश्चिम बंगाल को कोल ब्लॉकों की अबतक हुई नीलामी से 11+200 करोड़ रूपए मिलेंगे और तो भविष्य में राजस्व बढ़ेगा।,इसके अतिरिक्त पश्चिम बंगाल को कोल ब्लॉकों की अबतक हुई नीलामी से 11+200 करोड़ रूपए मिलेंगे और भविष्य में राजस्व बढ़ेगा।,3,synthetic
इस मामले में पुलिस ने एक्शन दिखाते हुए तुरंत जांच शुरू कर दी मामले की।,इस मामले में पुलिस ने एक्शन दिखाते हुए मामले की तुरंत जांच शुरू कर दी।,4,synthetic
आज दिवाली का त्योहार है मेरा पड़ोसी अपना घर को रंगोली बनाया है बहुत सुंदर दिख रहा है।,आज दिवाली का त्योहार है मेरे पड़ोसी ने अपने घर में रंगोली बनाई है बहुत सुंदर दिख रही है।,5,human
अब तक 24 राज्य/केन्द्र शासित प्रदेश राज्य समर्थन समझौता (एसएसए) पर हस्ताक्षर कर चुके है।,अब तक 24 राज्य/केन्द्र शासित प्रदेश राज्य समर्थन समझौते (एसएसए) पर हस्ताक्षर कर चुके हैं।,2,synthetic
उसका दादी बहुत बुजुर्ग हैं लेकिन अभी भी रोज़ सुबह मंदिर जाते हैं और सबके लिए प्रार्थना करते हैं।,उसकी दादी बहुत बुजुर्ग हैं लेकिन अभी भी रोज़ सुबह मंदिर जाती हैं और सबके लिए प्रार्थना करती हैं।,3,human
महिला के शिकायत करने पर पुलिस ने महिला के पति को हिरासत में ले लिया है।,महिला के शिकायत करने पर पुलिस ने महिला के पति को हिरासत में ले लिया।,1,synthetic
उसका इंटरेस्ट म्यूजिक में है और वह गिटार प्रैक्टिस करता है रेगुलरली।,उसकी रुचि संगीत में है और वह नियमित रूप से गिटार का अभ्यास करता है।,5,human
कुछ विद्यार्थियों ने प्रश्न पूछा हैं और शिक्षक ने उत्तर दिए हैं।,कुछ विद्यार्थियों ने प्रश्न पूछे हैं और शिक्षक ने उनके उत्तर दिए हैं।,2,human
तीन दिनों से वह बीमार है इसलिए वह स्कूल नहीं आ रहा है।,तीन दिन से वह बीमार है इसलिए वह स्कूल नहीं आ रहा है।,1,human
"उनकी प्रोफाइल पर उन्होंने अपने आपको सोशल मीडिया एक्सपर्ट, गुजराती टीवी के डायरेक्टर, भाजपा जूनागढ़ के आईटी सेल संयोजक बताया है।","उनकी प्रोफ़ाइल पर उन्होंने खुद को सोशल मीडिया एक्सपर्ट, गुजराती टीवी के डायरेक्टर, भाजपा जूनागढ़ के आईटी सेल संयोजक बताया है।",4,synthetic
"ब्लूमबर्ग के अनुसार, मंगलवार सुबह कॉमेक्स पर चांदी का दिसंबर वायदा भाव दिखाई दिया ट्रेंड करता हुआ 0.84 फीसद या 0.21 डॉलर की बढ़त के साथ 24.63 डॉलर प्रति औंस पर।","ब्लूमबर्ग के अनुसार, मंगलवार सुबह कॉमेक्स पर चांदी का दिसंबर वायदा भाव 0.84 फीसद या 0.21 डॉलर की बढ़त के साथ 24.63 डॉलर प्रति औंस पर ट्रेंड करता दिखाई दिया।",4,synthetic
उन बगीचा बहुत सुंदर है और यहाँ पर रंग-बिरंगे फूल खिलते हैं जो सभी को आकर्षित करते हैं।,वह बगीचा बहुत सुंदर है और यहाँ पर रंग-बिरंगे फूल खिलते हैं जो सभी को आकर्षित करते हैं।,1,human
महुआ मोइत्रा के कृष्णानगर लोकसभा सीट से चुनाव जीतने के बाद करीमपुर सीट खाली हो गया था।,महुआ मोइत्रा के कृष्णानगर लोकसभा सीट से चुनाव जीतने के बाद करीमपुर सीट खाली हो गई थी।,2,synthetic
भारतीय पुलिस सेवा के एक वरिष्ठ ऑफिसर एस चट‌्टोपाध्याय ने डीजीपी सुरेश अरोड़ा और दिनकर गुप्ता पर कोर्ट में सीरियस चार्जेज लगाये हैं।,भारतीय पुलिस सेवा के एक वरिष्ठ अधिकारी एस चट‌्टोपाध्याय ने डीजीपी सुरेश अरोड़ा अौर दिनकर गुप्ता पर कोर्ट में गंभीर अारोप लगाये हैं।,3,synthetic
मेरी माँ हर दिन सुबह जल्दी उठकर घर का सारा काम करती है और फिर हम सबको तैयार करके स्कूल भेजती है लेकिन खुद कभी आराम नहीं करता और हमेशा सबकी चिंता करता रहता है।,मेरी माँ हर दिन सुबह जल्दी उठकर घर का सारा काम करती हैं और फिर हम सबको तैयार करके स्कूल भेजती हैं लेकिन खुद कभी आराम नहीं करतीं और हमेशा सबकी चिंता करती रहती हैं।,4,human
उनका बेटा एक अच्छा कंपनी में काम करता है और अच्छा पैसा कमाता है और सभी उसका आदर करता है।,उनका बेटा एक अच्छी कंपनी में काम करता है और अच्छा पैसा कमाता है और सभी उसका आदर करते हैं।,2,human
उसने मुझे इनवाइट किया पार्टी में।,उसने मुझे पार्टी में निमंत्रित किया।,2,human
दुबई| किंग्स इलेवन पंजाब के सहमालिक नेस वाडिया ने बीसीसीआई से अपील की है कि वह आईपीएल में अंपायरिंग को बेहतर बनाएं और तकनीक का ज्यादा से ज्यादा उपयोग करें।,दुबई| किंग्स इलेवन पंजाब के सह-मालिक नेस वाडिया ने बीसीसीआई से अपील की है कि वे आईपीएल में अंपायरिंग को बेहतर बनाएँ और तकनीक का ज़्यादा से ज़्यादा उपयोग करें।,4,synthetic
जब मैं पढ़ाई खत्म करता हूँ+ तब मैं नौकरी ढूँढता हूँ और आत्मनिर्भर बनता हूँ।,जब मैं पढ़ाई खत्म करूँगा+ तब मैं नौकरी ढूँढूँगा और आत्मनिर्भर बनूँगा।,1,human
इसके अलावा शाहिद कपूर राजा रतन सिंह की भूमिका में दिखेंगे और रणवीर सिंह फिल्म में नेगेटिव भूमिका निभाते हुए अलाउद्दीन खिलजी के किरदार में नजर आएंगी।,इसके अलावा शाहिद कपूर राजा रतन सिंह की भूमिका में दिखेंगे और रणवीर सिंह फिल्म में नेगेटिव भूमिका निभाते हुए अलाउद्दीन खिलजी के किरदार में नजर आएंगे।,1,synthetic
"समिति ने कहा, 'यह कुछ और नहीं, बल्कि सरकार का एक जेब से दूसरी जेब में पैसा डालना की वित्तीय इंजीनियरिंग है।","समिति ने कहा, 'यह कुछ और नहीं, बल्कि सरकार की एक जेब से दूसरी जेब में पैसा डालने की वित्तीय इंजीनियरिंग है।",4,synthetic
बॉलीवुड ऐक्टर सुशांत सिंह राजपूत इस दुनिया से जिस तरह गया है उसकी उम्मीद किसी को नहीं था।,बॉलीवुड एक्टर सुशांत सिंह राजपूत इस दुनिया से जिस तरह गए हैं उसकी उम्मीद किसी को नहीं थी।,4,synthetic
निर्देशक इम्तियाज अली की फिल्म ‘जब हैरी मेट सेजल’ में शाहरुख खान गाइड की भूमिका में नजर आएंगे।,निर्देशक इम्तियाज अली की फिल्म 'जब हैरी मेट सेजल' में शाहरुख खान गाइड की भूमिका में नजर आएंगे।,3,synthetic
सरोज और रमेश जो आगरा में रहता है+ वह हमें अगले महीने मिलने आएगा और कुछ दिन रुकेगा।,सरोज और रमेश जो आगरा में रहते हैं+ वे हमें अगले महीने मिलने आएंगे और कुछ दिन रुकेंगे।,3,human
सभी मंत्री और सचिव साथ मिलकर बैठक में भाग लिया और महत्वपूर्ण निर्णय लिए।,सभी मंत्रियों और सचिवों ने साथ मिलकर बैठक में भाग लिया और महत्वपूर्ण निर्णय लिए।,1,human
"आंध्रप्रदेश, उड़ीसा और पश्‍चि‍म बंगाल के तटीय इलाकों में अगले 48 घंटों के दौरान 45-55 कि‍लोमीटर प्रति‍ घंटा की रफ्तार से तेज हवाएं भी चलने की संभावना है।","आंध्रप्रदेश, उड़ीसा और पश्‍चि‍म बंगाल के तटीय इलाकों में अगले 48 घंटों के दौरान 45 55 कि‍लोमीटर प्रति‍ घंटा की रफ्तार से तेज हवाएं चलने की भी संभावना है।",4,synthetic
दिल्ली के मुख्यमंत्री अरविंद केजरीवाल और डिप्‍टी सीएम मनीष सिसोदिया से दिल्ली पुलिस पूछताछ कर चुका है।,दिल्ली के मुख्यमंत्री अरविंद केजरीवाल और डिप्‍टी सीएम मनीष सिसोदिया से दिल्ली पुलिस पूछताछ कर चुकी है।,1,synthetic
रणनीतिक क्षेत्र में परमाणु एनर्जी+ अंतरिक्ष एवं रक्षा+ परिवहन एवं दूरसंचार+ बिजली+ पेट्रोलियम+ कोयला व अन्य खनिज+ बैंकिंग+ बीमा और वित्तीय सेवाएं शामिल हैं।,रणनीतिक क्षेत्र में परमाणु ऊर्जा+ अंतरिक्ष एवं रक्षा+ परिवहन एवं दूरसंचार+ बिजली+ पेट्रोलियम+ कोयला व अन्य खनिज+ बैंकिंग+ बीमा और वित्तीय सेवाएं शामिल हैं।,4,synthetic
"उन्होंने कहा, यह सरकार किए जा रही है गलतियों पर गलतियां और विपक्ष होने के नाते हमारा यह दायित्व है कि हम ध्यान दिलाएं राष्ट्रहित में उन गलतियों की तरफ।","उन्होंने कहा, यह सरकार गलतियों पर गलतियां किए जा रही है और विपक्ष होने के नाते हमारा यह दायित्व है कि राष्ट्रहित में उन गलतियों की तरफ हम ध्यान दिलाएं।",3,synthetic
लॉस में चल रहे एयर इंडिया पर 48+000 करोड़ रुपये से अधिक डेट होने का एस्टिमेशन है,घाटे में चल रही एयर इंडिया पर 48+000 करोड़ रुपये से अधिक कर्ज होने का अनुमान है,4,synthetic
अगर तुम यहाँ आता है तो हम साथ में खाना खा सकते हैं।,अगर तुम यहाँ आते हो तो हम साथ में खाना खा सकते हैं।,1,human
तीन लड़कियों ने नाच किया जिसने सबको मोहित कर लिया और सभी दर्शकों ने तालियों से उनका स्वागत किया।,तीन लड़कियों ने नाच किया जिसने सबको मोहित कर लिया और सभी दर्शकों ने तालियों से उनका स्वागत किया।,1,human
हॉटस्टार पर क्रिकेट मैच देखना मुझे बहुत रोमांचक लगता है खासकर इंडिया का मैच।,हॉटस्टार पर क्रिकेट मैच देखना मुझे बहुत रोमांचक लगता है खासकर इंडिया के मैच।,1,human
उसने मुझे रिकमेंड किया यह रेस्टोरेंट।,उसने मुझे यह भोजनालय सुझाया।,3,human
"फिल्म में कंगना के अलावा नज़र आए थे लीड रोल में जस्सी गिल, नीना गुप्ता, रिच्चा चड्ढा, मेघा बरमन और स्मिता तांबे भी।","फिल्म में कंगना के अलावा जस्सी गिल, नीना गुप्ता, रिच्चा चड्ढा, मेघा बरमन और स्मिता तांबे भी लीड रोल में नज़र आए थे।",4,synthetic
साजिद नडियाडवाला द्वारा निर्मित 'हाउसफुल 4' इसी फ्रेंचाइजी की चौथी फिल्म है। इस फिल्म के साथ साजिद खान वापसी कर रहे हैं।,साजिद नडियाडवाला द्वारा निर्मित 'हाउसफुल 4' इसी फ्रेंचाइजी की चौथी फिल्म है। इस फिल्म के साथ साजिद खान वापसी कर रहे हैं।,3,synthetic
"जिस दिन मैं ने पुकारा, उसी दिन तू ने मेरा सुन ली, और मुझ में बल देकर हियाव बन्धाया।","जिस दिन मैं ने पुकारा, उसी दिन तू ने मेरी सुन ली, और मुझ में बल देकर हियाव बन्धाया।",4,synthetic
