incorrect,correct,#errors,data_source
राजेश और उसका परिवार बहुत अच्छा है और वह हमेशा मेरी मदद करता है जब मुझे जरूरत होती है।,राजेश और उसका परिवार बहुत अच्छे हैं और वे हमेशा मेरी मदद करते हैं जब मुझे जरूरत होती है।,2,human
उन्होंने कहा था कि शुरू कर दी है सभी 103 लोगों को सेंट जॉर्ज अस्पताल में पृथक करने की प्रक्रिया।,उन्होंने कहा था कि सभी 103 लोगों को सेंट जॉर्ज अस्पताल में पृथक करने की प्रक्रिया शुरू कर दी है।,4,synthetic
बच्चा ऑनलाइन क्लास में अटेंड नहीं कर रहे हैं क्योंकि इंटरनेट स्पीड स्लो है।,बच्चे ऑनलाइन कक्षा में भाग नहीं ले रहे हैं क्योंकि इंटरनेट गति धीमी है।,4,human
"प्रत्येक मामले की समीक्षा जा रही है की जा, कश्मीर में हिरासत में लिए गए लोगों का रिहाई के बारे में पूछे जाने पर कंसल ने कहा।",कश्मीर में हिरासत में लिए गए लोगों की रिहाई के बारे में पूछे जाने पर कंसल ने कहा कि प्रत्येक मामले की समीक्षा की जा रही है।,4,synthetic
पत्तन क्षेत्रक से संबंधित कुल 276 परियोजनाएं (जिसमें 12.40 बिलियन का अमेरिकी डॉलर का निवेश शामिल है) को कार्यक्रम का अधीन 2011-12 तक कार्यान्वयन के लिए अभिचिन्हांकित किया गया था।,पत्तन क्षेत्रक से संबंधित कुल 276 परियोजनाएं (जिसमें 12.40 बिलियन अमेरिकी डॉलर का निवेश शामिल है) को कार्यक्रम के अधीन 2011-12 तक कार्यान्वयन के लिए अभिचिन्हांकित किया गया था।,4,synthetic
प्रियंका चोपड़ा की शादी हॉलीवुड के सिंगर और एक्टर निक जोनास के साथ हो चुकी है।,प्रियंका चोपड़ा की शादी हॉलीवुड के गायक और अभिनेता निक जोनास के साथ हो चुकी है।,3,synthetic
आखिर में अंतर्राष्ट्रीय टेनिस महासंघ (आईटीएफ) ने इस मुकाबले को नूर-सुल्तान में कराने का किया फैसला क्योंकि उसके स्वतंत्र पंचाट ने पाकिस्तान टेनिस महासंघ की समीक्षा की अपील दी ठुकरा।,आखिर में अंतर्राष्ट्रीय टेनिस महासंघ (आईटीएफ) ने इस मुकाबले को नूर-सुल्तान में कराने का फैसला किया क्योंकि उसके स्वतंत्र पंचाट ने पाकिस्तान टेनिस महासंघ की समीक्षा की अपील ठुकरा दी।,1,synthetic
और निश्चित रूप से+ वे फोटो वोल्टाइक उपकरणों के प्रकार में एक बड़ा उपयोग करते हैं या हमें एलईडी कहते तो हैं।,और निश्चित रूप से+ वे फोटो वोल्टाइक उपकरणों के प्रकार में एक बड़ा उपयोग करते हैं या हमें एलईडी कहते हैं।,1,synthetic
मैं हर शुक्रवार को अपना मित्रों के साथ फिल्म देखने जाता हूँ और फिर कैफे में बैठकर चर्चा करते हैं।,मैं हर शुक्रवार को अपने मित्रों के साथ फिल्म देखने जाता हूँ और फिर कैफे में बैठकर चर्चा करते हैं।,1,human
मेरा दोस्त नई नौकरी में बहुत खुश है क्योंकि पुराना कंपनी में सैलरी कम मिलता था।,मेरे दोस्त नई नौकरी में बहुत खुश हैं क्योंकि पुरानी कंपनी में सैलरी कम मिलती थी।,4,human
गाँव के मुखिया और पंच सभी मिलकर फैसला किया और लोगों को बताया उसके बारे में।,गाँव के मुखिया और पंचों ने सभी मिलकर फैसला किया और लोगों को उसके बारे में बताया।,2,human
कथित तौर पर मुख्य द्वार को खोलने के लिए दो बार प्रयास किया गया लेकिन असफल रहे।,कथित तौर पर मुख्य द्वार को खोलने के लिए दो बार प्रयास किया गया लेकिन असफल रहा।,1,synthetic
अधिकतर सरल मेल अंतरण प्रोटोकॉल (एसएमटीपी) और यूज़नैट फ़ीड के लिए हैपीनेट.कॉम का प्रयोग किए गया है।,अधिकतर सरल मेल अंतरण प्रोटोकॉल (एसएमटीपी) और यूज़नैट फ़ीड के लिए हैपीनेट. कॉम का प्रयोग किया गया है।,3,synthetic
पुलिस कांस्टेबल पृथ्वीराज सिंह जडेजा का इस सराहनीय कार्य के लिए मुख्यमंत्री विजय रूपानी ने भी उन्हें बधाई दिया।,पुलिस कांस्टेबल पृथ्वीराज सिंह जडेजा के इस सराहनीय कार्य के लिए मुख्यमंत्री विजय रूपानी ने भी उन्हें बधाई दी।,4,synthetic
आज के भारत में करीब 800 मिलियन मतदाताओं शिक्षित है और राजनीतिक रूप से अच्छी तरह से वाकिफ हैं।,आज के भारत में करीब 800 मिलियन मतदाता शिक्षित हैं और राजनीतिक रूप से अच्छी तरह से वाकिफ हैं।,3,synthetic
"अजय देवगन सूबेदार तानाजी मालुसरे की भूमिका निभाएंगे, जो शिवाजी की सेना में सेनानायक और 17वीं सदी में मराठा साम्राज्य के संस्थापक भी थे।","अजय देवगन सूबेदार तानाजी मालुसरे की भूमिका निभाएंगे, जो शिवाजी की सेना में सेनानायक और 17वीं सदी में मराठा साम्राज्य के संस्थापक भी थे।",3,synthetic
हमारे देश का राष्ट्रपति एक अच्छा आदमी है और वह देश का विकास करने के लिए काम करता है।,हमारे देश के राष्ट्रपति एक अच्छे आदमी हैं और वे देश का विकास करने के लिए काम करते हैं।,2,human
इस तरह वे दिखाते हैं कि उन्हें सचमुच हमारा परवाह है।,इस तरह वे दिखाते हैं कि उन्हें सचमुच हमारी परवाह है । ​ — 1 कुरिं.,1,synthetic
उसके पास एक लाल रंग का मोटरसाइकिल है जो वह हर रोज़ कॉलेज को जाता है।,उसके पास एक लाल रंग की मोटरसाइकिल है जिससे वह हर रोज़ कॉलेज जाता है।,3,human
मुख्य ज़ोर इस बात पर है कि प्रत्येक मेधावी छात्र को शिक्षा पूरी करने हेतु किफायती शर्तों पर वित्तीय सहायता उपलब्ध करवायी जाए।,मुख्य ज़ोर इस बात पर है कि प्रत्येक मेधावी छात्र को शिक्षा पूरी करने हेतु किफ़ायती शर्तों पर वित्तीय सहायता उपलब्ध करवाई जाए।,4,synthetic
आज मेट्रो में बहुत भीड़ था इसलिए दो ट्रेन छोड़ने के बाद तीसरा में चढ़ सका।,आज मेट्रो में बहुत भीड़ थी इसलिए दो ट्रेन छोड़ने के बाद तीसरी में चढ़ सका।,2,human
2003 के बाद से ही यूएएसएल लाइसेंस का आवंटन 2003 के कैबिनेट के फैसले और दूरसंचार नियामक प्राधिकरण (ट्राई) की सिफारिशों के अनुरूप नहीं था।,2003 के बाद से ही UASL लाइसेंस का आवंटन 2003 के कैबिनेट के फैसले और दूरसंचार नियामक प्राधिकरण (TRAI) की सिफारिशों के अनुरूप नहीं था।,2,synthetic
भामरे पहले शिवसेना से जुड़े हुए थे लेकिन वह बाद में शामिल हो गए भाजपा में।,भामरे पहले शिवसेना से जुड़े हुए थे लेकिन बाद में वह भाजपा में शामिल हो गए।,4,synthetic
उसके घर में को बहुत कमरे हैं और एक सुंदर बगीचा भी है।,उसके घर में बहुत कमरे हैं और एक सुंदर बगीचा भी है।,1,human
तीन बकरियों पहाड़ी पर चढ़ रहा है और घास खा रहा है और चरवाहा उनको हांक रहा है।,तीन बकरियाँ पहाड़ी पर चढ़ रही हैं और घास खा रही हैं और चरवाहा उन्हें हांक रहा है।,4,human
अविवाहित मसीही बिठा सकते हैं अपनी सारणी में अपना बाइबल पठन अधिक सरलता से उनकी तुलना में जो विवाहित हैं।,"अविवाहित मसीही उनकी तुलना में जो विवाहित हैं, अपनी सारणी में अपना बाइबल पठन अधिक सरलता से बिठा सकते हैं ।",4,synthetic
अपनी हरकत का बचाव करते हुए उन्होंने 'ट्विटर' पर कहा था-मैं इस बात से सहमत हूं कि क्रिकेटरों को दर्शकों की टिप्पणियों पर प्रतिक्रिया देनी नहीं चाहिए।,अपनी हरकत का बचाव करते हुए उन्होंने 'ट्विटर' पर कहा था-मैं इस बात से सहमत हूं कि क्रिकेटरों को दर्शकों की टिप्पणियों पर प्रतिक्रिया नहीं देनी चाहिए।,1,synthetic
उनके रिंग नाम को छोटा करके बस ट्रिपल एच कर दिया गया इस अवधि के दौरान।,इस अवधि के दौरान उनके रिंग नाम को छोटा करके बस ट्रिपल एच कर दिया गया।,4,synthetic
दो लड़कियों ने मिलकर एक सुंदर चित्र बनाई और उसको दीवार पर लगाया।,दो लड़कियों ने मिलकर एक सुंदर चित्र बनाया और उसे दीवार पर लगाया।,2,human
यह औरतें रोज़ सुबह अपने बच्चों को तैयार करता है और उन्हें स्कूल भेजने का काम करता है।,ये औरतें रोज़ सुबह अपने बच्चों को तैयार करती हैं और उन्हें स्कूल भेजने का काम करती हैं।,3,human
"उपराष्ट्रपति ने कहा कि जनगणना के आंकड़ों से पता चलता है कि भारत में आबादी युवा है, आधी से ज़्यादा जनसंख्या ३५ वर्ष से कम आयु की है।","उपराष्ट्रपति ने कहा कि जनगणना के आंकड़ों से पता चलता है कि भारत में आबादी युवा है, आधी से ज़्यादा जनसंख्या 35 वर्ष से कम आयु की है।",4,synthetic
"चार यात्री जहाज-एमवी टीपू सुल्तान, एमवी भारत सीमा, एमवी अमीनदीवी और एमवी मिनीकोय कोचीन से लक्षद्वीप के बीच में चलती हैं।","चार यात्री जहाज-एमवी टीपू सुल्तान, एमवी भारत सीमा, एमवी अमीनदीवी और एमवी मिनीकोय कोचीन से लक्षद्वीप के बीच में चलते है।",4,synthetic
माँ और बेटी+ जो बाजार गया था+ वह अभी तक लौटा नहीं है और फोन भी नहीं उठा रहा है।,माँ और बेटी+ जो बाजार गईं थीं+ वे अभी तक लौटी नहीं हैं और फोन भी नहीं उठा रही हैं।,3,human
आज वेदर बहुत अच्छा है। पार्क में चलते हैं।,आज मौसम बहुत अच्छा है। पार्क में चलते हैं।,1,human
दो लड़कियाँ बाहर खेल रहा है और एक लड़का उन्हें देख रहा है जबकि शिक्षक कक्षा में पढ़ा रहे हैं।,दो लड़कियाँ बाहर खेल रही हैं और एक लड़का उन्हें देख रहा है जबकि शिक्षक कक्षा में पढ़ा रहे हैं।,1,human
उसने कहा कि ये देश अपने को विकासशील कहते हैं और ‘इस श्रेणी में होने के नाते वे सब्सिडी पाते हैं। हमको उन्हें धन देना पड़ता है।,उन्होंने कहा कि ये देश अपने को विकासशील कहते हैं और ‘इस श्रेणी में होने के नाते वे सब्सिडी पाते हैं। हमें उन्हें धन देना पड़ता है।,2,synthetic
सड़क पर चार कुत्तों दौड़ रहा है और एक बिल्ली उनका पीछा कर रही है।,सड़क पर चार कुत्ते दौड़ रहे हैं और एक बिल्ली उनका पीछा कर रही है।,2,human
इस बीच+ राजस्थान की राज्यपाल माग्रेट अल्वा ने भी पीएम मोदी से मुलाकात का है।,इस बीच+ राजस्थान की राज्यपाल माग्रेट अल्वा ने भी पीएम मोदी से मुलाकात की है।,1,synthetic
आज मैं इंडियन आइडल देखने को बैठा हूँ जहाँ बहुत अच्छा गायक प्रतियोगिता कर रहा है।,आज मैं इंडियन आइडल देखने बैठा हूँ जहाँ बहुत अच्छे गायक प्रतियोगिता कर रहे हैं।,3,human
पिछले आकड़े दर्शाते हैं कि अप्रैल का मुकाबले जून में डीजल की खपत घटता है।,पिछले आंकड़ें दर्शाते हैं कि अप्रैल के मुकाबले जून में डीजल की खपत घटती है।,4,synthetic
इसका मतलब है कि इस सीमा के आर-पार द्रव्यमान का कोई आदान प्रदान नहीं होता।,इसका मतलब है कि इस सीमा के आर-पार द्रव्यमान का कोई आदान प्रदान नहीं है।,1,synthetic
मेरे भारतीय दोस्त मुझे हिंदी सिखाता है धैर्य से हर दिन नए शब्द बताता है।,मेरे भारतीय दोस्त मुझे हिंदी सिखाते हैं धैर्य से हर दिन नए शब्द बताते हैं।,2,human
इंग्लैंड ने भारत को पहले मुकाबले में 227 रन से मात दी थी+ इसके बाद भारत ने इंग्लिश टीम को दूसरे टेस्ट मैच में 317 रन से हराए था।,इंग्लैंड ने भारत को पहले मुकाबले में 227 रनों से मात दी थी+ इसके बाद भारत ने इंग्लिश टीम को दूसरे टेस्ट मैच में 317 रनों से हराया था।,3,synthetic
ज़्यादातर जगहों पर इस भाषण के आखिर में+ भाषण देनेवाले भाई ने को एक नयी किताब रिलीज़ की+ यशायाह की भविष्यवाणी — सारे जगत के लिए उजियाला+ भाग 2।,ज़्यादातर जगहों पर इस भाषण के आखिर में+ भाषण देनेवाले भाई ने एक नयी किताब+ यशायाह की भविष्यवाणी — सारे जगत के लिए उजियाला+ भाग 2 रिलीज़ की।,2,synthetic
मेरी बहन कल अपना सहेली के साथ सिनेमा देखने गया था और फिल्म बहुत अच्छा था लेकिन टिकट का दाम बहुत महंगा था इसलिए अगली बार घर पर ही देखेंगे।,मेरी बहन कल अपनी सहेली के साथ सिनेमा देखने गई थी और फिल्म बहुत अच्छी थी लेकिन टिकट का दाम बहुत महंगा था इसलिए अगली बार घर पर ही देखेंगे।,3,human
मैं हॉटस्टार पर हिंदी मूवी देखता हूँ सबटाइटल के साथ भाषा समझने को मदद मिलता है।,मैं हॉटस्टार पर हिंदी मूवी देखता हूँ सबटाइटल के साथ भाषा समझने में मदद मिलती है।,2,human
"यदि किसी व्‍यक्ति या उद्योग को इससे अधिक रकम रखने की आवश्‍यकता है, तो इसलिए क्षेत्र के आयकर आयुक्‍त से आवश्‍यक अनुमति लेनी होगा।","यदि किसी व्‍यक्ति या उद्योग को इससे अधिक रकम रखने की आवश्‍यकता है, तो इसलिए क्षेत्र के आयकर आयुक्‍त से आवश्‍यक अनुमति लेनी होगी।",1,synthetic
"उसने कई स्कूलों में भाग लिया जिसमें कोलंबिया विश्वविद्यालय मेडिकल स्कूल, रूटर विश्वविद्यालय, अलबामा विश्वविद्यालय, और ऑक्सफोर्ड विश्वविद्यालय शामिल हैं।","उन्होंने कई स्कूलों में भाग लिया जिसमें कोलंबिया विश्वविद्यालय मेडिकल स्कूल, रूटर विश्वविद्यालय, अलबामा विश्वविद्यालय, और ऑक्सफोर्ड विश्वविद्यालय शामिल हैं।",3,synthetic
तुम्हारे भाई-बहन सब पढ़ाई में तेज़ है और अच्छे अंक लाता है हमेशा।,आपके भाई-बहन सब पढ़ाई में तेज़ हैं और हमेशा अच्छे अंक लाते हैं।,3,human
"एआईएफएफ ने प्रस्ताव रखा है पाँच राज्‍यों-दिल्‍ली, पश्चिम बंगाल, महाराष्‍ट्र, कर्नाटक और असम, गोवा एवं केरल में से किसी एक में मैच का आयोजन करने का।","एआईएफएफ ने पाँच राज्‍यों-दिल्‍ली, पश्चिम बंगाल, महाराष्‍ट्र, कर्नाटक और असम, गोवा एवं केरल में से किसी एक में मैच का आयोजन करने का प्रस्‍ताव रखा है।",4,synthetic
कार्यकर्ताओं ने हुगली से बीजेपी सांसद लॉकेट चटर्जी का मौजूदगी में हैस्टिंग्स इलाके में प्रदर्शन किया।,कार्यकर्ताओं ने हुगली से बीजेपी सांसद लॉकेट चटर्जी की मौजूदगी में हैस्टिंग्स इलाके में प्रदर्शन किया।,4,synthetic
कल मैं अपने दादी के साथ बाज़ार गया था और उनके लिए दवा लाया था।,कल मैं अपनी दादी के साथ बाज़ार गया था और उनके लिए दवा लाया था।,1,human
मेरा छोटा बहन कल स्कूल से घर आकर मुझे बताया कि उसका शिक्षक ने उसे पुरस्कार दिया था और वह बहुत खुश था।,मेरी छोटी बहन कल स्कूल से घर आकर मुझे बताई कि उसके शिक्षक ने उसे पुरस्कार दिया था और वह बहुत खुश थी।,5,human
केरला से पेरियार नदी आकर इसमें मिल जाती हैं+ इसी कारण यह तमिलनाडु का कुछ भला कर सकती हैं।,केरला से पेरियार नदी आकर इसमें मिल जाती है+ इसी कारण यह तमिलनाडु का कुछ भला कर सकती है।,2,synthetic
हमारे कॉलेज में कल एक प्रसिद्ध कवि आएगा और छात्रों को कविता के बारे में बताएगा लेकिन कुछ छात्र उसका व्याख्यान में रुचि नहीं ले रहा है क्योंकि उन्हें केवल मनोरंजन चाहिए।,हमारे कॉलेज में कल एक प्रसिद्ध कवि आएँगे और छात्रों को कविता के बारे में बताएँगे लेकिन कुछ छात्र उनके व्याख्यान में रुचि नहीं ले रहे हैं क्योंकि उन्हें केवल मनोरंजन चाहिए।,4,human
मैं अभी काम करता हूँ और शाम को अपने दोस्तों से मिलता हूँ पार्क में।,मैं अभी काम करूँगा और शाम को पार्क में अपने दोस्तों से मिलूँगा।,2,human
अगर तुम मेहनत करते हो+ तो तुम परीक्षा में अच्छे अंक पाते हो और पास होते हो।,अगर तुम मेहनत करोगे+ तो तुम परीक्षा में अच्छे अंक पाओगे और पास होगे।,1,human
सुल्तान शामसुद्दीन शाह के बाद उनका बड़ा बेटा सुल्तान जमशीद ने के लिए एक साल और दो महीने शासन करता था।,सुल्तान शम्सुद्दीन शाह के बाद उनके बड़े बेटे सुल्तान जमशीद ने एक साल और दो महीने तक शासन किया।,1,synthetic
हम वीकेंड पर पिकनिक मनाने जंगल गए थे।,हम सप्ताहांत पर पिकनिक मनाने वन गए थे।,3,human
सिंह ने दिल्ली पुलिस कमिश्नर से मामले की इन्वेस्टिगेशन के लिए स्पेशल टीम बनाने के इंस्ट्रक्शन्स दिए हैं।,सिंह ने दिल्ली पुलिस कमिश्नर से मामले की जांच के लिए स्पेशल टीम बनाने के निर्देश दिए हैं।,3,synthetic
मेरा बिल्ली भूखा है इसलिए मैं उसे खाना दे रहा हूँ।,मेरी बिल्ली भूखी है इसलिए मैं उसे खाना दे रहा हूँ।,2,human
राष्ट्रपति ने आग्रह किया भारतीय विदेश सेवा के परिवीक्षाधीनों से कि वे खुद को प्रशिक्षित करें आर्थिक कूटनीति में तथा ऊर्जा सुरक्षा और खाद्य सुरक्षा जैसे मुद्दों पर।,राष्ट्रपति ने भारतीय विदेश सेवा के परिवीक्षाधीनों से आग्रह किया कि वे खुद को आर्थिक कूटनीति में तथा ऊर्जा सुरक्षा और खाद्य सुरक्षा जैसे मुद्दों पर प्रशिक्षित करें।,4,synthetic
पूर्व केंद्रीय मंत्री और चिदंबरम के वकील कपिल सिब्बल ने चिदंबरम की गिरफ्तारी पर रोक लगाने का मांग की है।,पूर्व केंद्रीय मंत्री और चिदंबरम के वकील कपिल सिब्बल ने चिदंबरम की गिरफ्तारी पर रोक लगाने की मांग की है।,1,synthetic
"राज्य को अगर रमजान पर बिजली मिले तो दीवाली में भी मिले, ईद पर बिजली मिले तो होली पर भी मिले ही।","राज्य को अगर रमजान पर बिजली मिले तो दीवाली में भी मिले, ईद पर बिजली मिले तो होली पर भी मिले।",4,synthetic
एजीपी के वरिष्ठ नेता फनी भूषण चौधरी के भी मंत्रिमंडल में शामिल होने की संभावना हैं।,एजीपी के वरिष्ठ नेता फनी भूषण चौधरी के भी मंत्रिमंडल में शामिल होने की संभावना है।,1,synthetic
"जिन मौसमों में कीटों का अधिक खतरा रहता है, उन मौसमों में बीज बोने या और समय में फेरबदल कर उस समय खेती करने से बचना।","जिन मौसमों में कीटों का अधिक खतरा रहता है, उन मौसमों में बीज बोने या समय में फेरबदल कर उस समय खेती करने से बचना चाहिए।",2,synthetic
"दीपेन्द्र देसवाल/ट्रिन्यू, हिसार: राजनीतिक गलियारों में चर्चा है कि जी ग्रुप के मालिक सुभाष चन्द्रा हरयिाणा के खाते से राज्यसभा में जाने की तैयारी में हैं।","दीपेन्द्र देसवाल/ट्रिन्यू, हिसार: राजनीतिक गलियारों में चर्चा है कि जी ग्रुप के मालिक सुभाष चंद्रा हरियाणा के खाते से राज्यसभा में जाने की तैयारी में हैं।",3,synthetic
"सिंघवी ने कहा, ‘‘वे सोशल मीडिया हब का जरिए सोशल मीडिया की विषयवस्तु का निगरानी करना चाहते हैं।","सिंघवी ने कहा, ‘‘वे सोशल मीडिया हब के जरिए सोशल मीडिया की विषयवस्तु की निगरानी करना चाहते हैं।",4,synthetic
उनके नेतृत्व+ दूरदर्शिता+ परिपक्वता और वाणी ने एक लीग में उन्हें अपने आप में रखा।,उनके नेतृत्व+ दूरदर्शिता+ परिपक्वता और वाणी ने उन्हें अपने आप में एक लीग में रखा।,1,synthetic
